name,tab
C,x32010
C,335553
C,875558
C/g,332010
C/e,032010
Cm,x31043
Cm,335543
Cm,x65888
C7,032310
C7,335353
C7,875556
C+5,032110
C+5,xx6554
C+5,x76558
C6,032210
C6,002010
C6,335555
C6,875555
Csus,333011
Csus,333563
Csus7,113311
Csus7,133311
Csus7,333363
Cmaj7,032000
Cmaj7,332000
Cmaj7,335453
Cmaj7,x75557
C7+5,x12314
C7+5,x36354
C7+5,x76556
C7-5,x12312
C7-5,x34356
C7-5,xx4556
C7-5,xx8978
Cm+7,x21003
Cm+7,335443
Cm+7,xx5547
Cm7,x11313
Cm7,335343
Cm7,xx5546
C+7+5,032100
C+7+5,x3x454
C+7+5,x76557
C+7+5,xx9998
Cm7-5,x11312
Cm7-5,334346
Cm7-5,x64546
Cdim,xx1212
Cdim,234242
Cdim,567575
C9,032330
C9,x32333
C9,x55556
C-9,x32323
C-9,558658
C#,143121
C#,446664
C#,986669
C#m,0x2124
C#m,446654
C#m,x76999
C#7,143121
C#7,123121
C#7,446464
C#7,986667
C#+5,x03221
C#+5,xx7665
C#+5,x87669
C#6,113121
C#6,113124
C#6,446666
C#6,986666
C#sus,446674
C#sus,444674
C#sus7,224422
C#sus7,446474
C#sus7,446674
C#maj7,143111
C#maj7,446564
C#maj7,x86668
C#7+5,x23425
C#7+5,x47465
C#7+5,x87667
C#7-5,x23423
C#7-5,x45467
C#7-5,xx5667
C#m+7,032114
C#m+7,446554
C#m+7,076558
C#m7,022424
C#m7,446454
C#m7,446457
C#m7,xx6657
C#+7+5,143211
C#+7+5,x87668
C#m7-5,022423
C#m7-5,445457
C#m7-5,075657
C#dim,xx2323
C#dim,345353
C#dim,678686
C#9,121121
C#9,x66667
C#-9,x43434
C#-9,669769
C#-9,456464
D,x00232
D,254232
D,557775
Dm,x00231
Dm,003235
Dm,557765
D7,x00212
D7,234232
D7,557575
D7,x97778
D+5,2x4332
D+5,x54336
D+5,6x8776
D6,x00202
D6,200202
D6,224232
D6,224235
D6,557777
Dsus,x00233
Dsus,555785
Dsus,557785
Dsus7,x00213
Dsus7,335533
Dsus7,557585
Dmaj7,x00222
Dmaj7,200222
Dmaj7,254222
Dmaj7,557675
D7+5,xx0312
D7+5,x34536
D7+5,x58576
D7+5,x98778
D7-5,xx0112
D7-5,1x0112
D7-5,x34534
D7-5,x56578
Dm+7,x00221
Dm+7,100221
Dm+7,x43225
Dm+7,557665
Dm7,x00211
Dm7,x33535
Dm7,557565
D+7+5,254322
D+7+5,x98779
Dm7-5,1x0111
Dm7-5,x33534
Dm7-5,556568
Dm7-5,x86768
Ddim,xx0101
Ddim,1x0101
Ddim,123131
Ddim,xx3434
Ddim,789797
D9,000212
D9,002532
D9,x77778
D-9,001212
D-9,x54545
D#,x11343
D#,365343
D#,668886
D#m,x11342
D#m,xx4346
D#m,668876
D#7,x11323
D#7,345343
D#7,668686
D#+5,321003
D#+5,3x5443
D#+5,7x9887
D#6,x11313
D#6,335343
D#6,335346
D#6,668888
D#sus,x11144
D#sus,x11344
D#sus,668896
D#sus7,x11124
D#sus7,x11324
D#sus7,446644
D#sus7,668696
D#maj7,x11333
D#maj7,365333
D#maj7,668786
D#7+5,xx1423
D#7+5,x45647
D#7+5,x69687
D#7-5,x01223
D#7-5,301223
D#7-5,565685
D#m+7,x11332
D#m+7,x54336
D#m+7,668776
D#m7,x11322
D#m7,x44646
D#m7,668676
D#+7+5,x21033
D#+7+5,365433
D#m7-5,2x1222
D#m7-5,x44645
D#m7-5,667679
D#m7-5,x97879
D#dim,x01212
D#dim,x04545
D#dim,x07878
D#9,111323
D#9,343643
D#9,x65666
D#9,x88889
D#-9,011020
D#-9,065656
D#-9,678686
E,022100
E,022454
E,476454
E,779997
Em,022000
Em,022453
Em,xx5457
Em,779987
E7,022130
E7,022434
E7,456454
E7,779797
E+5,0x2110
E+5,032114
E+5,4x6554
E6,022120
E6,022424
E6,446454
E6,779999
Esus,022200
Esus,033455
Esus7,020200
Esus7,022235
Emaj7,021100
Emaj7,022444
Emaj7,476444
Emaj7,779897
E7+5,020110
E7+5,xx2534
E7-5,xx2334
E7-5,xx6756
Em+7,021000
Em+7,022443
Em+7,x65447
Em+7,779887
Em7,020000
Em7,020030
Em7,022433
Em7,x55757
Em7,779787
E+7+5,0x1110
E+7+5,032144
E+7+5,476544
Em7-5,010030
Em7-5,3x2333
Em7-5,355333
Em7-5,x55756
Edim,012020
Edim,xx2323
Edim,xx5656
Edim,xx8989
E9,020102
E9,222434
E9,xx4754
E-9,020101
E-9,122131
E-9,x76767
F,133211
F,x33565
F,587565
F/A,x03211
F/c,X33211
Fm,133111
Fm,x33564
F7,131211
F7,131241
F7,x33545
F7,567565
F+5,1x3221
F+5,x43225
F+5,5x7665
F6,x33535
F6,557565
Fsus,113311
Fsus,133311
Fsus,x33566
Fsus7,131311
Fsus7,x33345
Fmaj7,132211
Fmaj7,x33555
Fmaj7,587555
F7+5,131221
F7+5,x03645
F7+5,x67869
F7-5,101201
F7-5,xx3445
F7-5,xx7867
Fm+7,132111
Fm+7,x33554
Fm+7,x76558
Fm7,131111
Fm7,131141
Fm7,x33544
Fm7,x66868
F+7+5,002221
F+7+5,587655
Fm7-5,121141
Fm7-5,xx3444
Fm7-5,x66867
Fdim,123131
Fdim,xx3434
Fdim,xx6767
F9,131213
F9,333545
F-9,131212
F-9,233242
F-9,x87878
F#,244322
F#,x44676
F#,698676
F#m,244222
F#m,x44675
F#7,242322
F#7,242352
F#7,x44656
F#7,678676
F#+5,2x4332
F#+5,x54336
F#+5,6x8776
F#6,x44646
F#6,668676
F#sus,224422
F#sus,244422
F#sus,x44677
F#sus7,242422
F#sus7,x44456
F#maj7,243322
F#maj7,x44666
F#maj7,698666
F#7+5,242332
F#7+5,xx4756
F#7-5,xx2312
F#7-5,xx4556
F#7-5,xx8978
F#m+7,243222
F#m+7,x44665
F#m+7,x87669
F#m7,242222
F#m7,242252
F#m7,x44655
F#m7,x77979
F#+7+5,xx3332
F#+7+5,698766
F#m7-5,232252
F#m7-5,xx4555
F#m7-5,x77978
F#dim,234242
F#dim,xx4545
F#dim,xx7878
F#9,242324
F#9,444656
F#-9,242323
F#-9,344353
F#-9,x98989
G,320003
G,355433
G,x55787
Gm,x10333
Gm,355333
Gm,x55786
G7,320001
G7,353433
G7,x55767
G+5,321003
G+5,3x5443
G+5,x65447
G+5,7x9887
G6,320000
G6,320030
G6,x55757
G6,779787
Gsus,330013
Gsus,335533
Gsus,355533
Gsus,x55588
Gsus7,330011
Gsus7,333533
Gsus7,353533
Gsus7,x55568
Gmaj7,320002
Gmaj7,354433
Gmaj7,x55777
G7+5,321001
G7+5,353443
G7-5,xx3423
G7-5,xx5667
Gm+7,354333
Gm+7,x55776
Gm7,353333
Gm7,353363
Gm7,x55766
G+7+5,321003
G+7+5,xx4443
G+7+5,x65477
Gm7-5,343363
Gm7-5,6x5666
Gdim,012020
Gdim,345353
Gdim,xx5656
Gdim,xx8989
G9,000001
G9,353435
G9,555767
G-9,x23103
G-9,455464
G#,431114
G#,466544
G#,x66898
G#m,x21444
G#m,466444
G#m,x66897
G#7,431112
G#7,464544
G#7,x66878
G#+5,032110
G#+5,x32114
G#+5,1x6554
G#+5,x76558
G#6,431111
G#6,x66868
G#sus,446644
G#sus,466644
G#sus,x66699
G#sus7,444644
G#sus7,464644
G#maj7,x31113
G#maj7,465544
G#maj7,x66888
G#7+5,x32112
G#7+5,464554
G#7-5,xx0112
G#7-5,xx4534
G#7-5,xx6778
G#m+7,xx1103
G#m+7,465444
G#m+7,x66887
G#m7,002213
G#m7,464444
G#m7,464474
G#m7,x66877
G#+7+5,032113
G#+7+5,xx5554
G#m7-5,220102
G#m7-5,454474
G#m7-5,7x6777
G#dim,xx0101
G#dim,123131
G#dim,456464
G#9,x11112
G#9,464546
G#9,666878
G#-9,201112
G#-9,464545
G#-9,566575
A,x02220
A,542225
A,577655
A/e,002220
Am,002210
Am,x32555
Am,577555
A7,002020
A7,042223
A7,575655
A7,x77989
A+5,103221
A+5,x43225
A+5,xx7665
A+5,x87669
A6,002222
A6,542222
A6,x77979
Asus,002230
Asus,557755
Asus7,002030
Asus7,555755
Amaj7,002120
Amaj7,042224
Amaj7,576655
Amaj7,x77999
A7+5,143021
A7+5,x43223
A7+5,575665
A7-5,x01023
A7-5,xx1223
A7-5,xx5645
A7-5,xx7889
Am+7,002110
Am+7,002214
Am+7,576555
Am+7,x77998
Am7,002010
Am7,002213
Am7,575555
Am7,x77988
A+7+5,x0x121
A+7+5,x43224
A+7+5,xx6665
A+7+5,x86669
Am7-5,x01013
Am7-5,x31213
Am7-5,565585
Am7-5,8x7888
Adim,xx1212
Adim,234242
Adim,567575
Adim,xx7878
A9,x22223
A9,575657
A9,777989
A-9,2x5325
A-9,575656
A-9,677686
A#,x13331
A#,653336
A#,688766
A#/f,113331
A#/d,xx0331
A#/c,X33331
A#m,113321
A#m,x43666
A#m,688666
A#7,113131
A#7,653334
A#7,686766
A#+5,2x4332
A#+5,x54336
A#+5,6x8776
A#6,113333
A#6,653333
A#sus,111341
A#sus,113341
A#sus,668866
A#sus7,111131
A#sus7,113141
A#sus7,666866
A#maj7,113231
A#maj7,x53335
A#maj7,687766
A#7+5,x14132
A#7+5,x54334
A#7+5,686776
A#7-5,012134
A#7-5,0x2334
A#7-5,xx6756
A#m+7,113221
A#m+7,687666
A#m7,113121
A#m7,xx3324
A#m7,686666
A#m7,686696
A#+7+5,x10232
A#+7+5,200332
A#+7+5,x54335
A#+7+5,6x7776
A#m7-5,112124
A#m7-5,x42324
A#m7-5,676696
A#dim,xx2323
A#dim,345353
A#dim,678686
A#9,x10111
A#9,x33334
A#9,686768
A#-9,110101
A#-9,353436
A#-9,686767
A#-9,788797
B,224442
B,764447
B,799877
Bm,224432
Bm,x54777
Bm,799777
B7,224242
B7,764445
B7,797877
B+5,3x5443
B+5,x65447
B+5,7x9887
B6,224444
B6,764444
Bsus,224452
Bsus,222452
Bsus,799977
Bsus,779977
Bsus7,222252
Bsus7,224252
Bsus7,777977
Bsus7,797977
Bmaj7,224342
Bmaj7,x64446
Bmaj7,798877
B7+5,x21203
B7+5,x25243
B7+5,x65445
B7+5,797887
B7-5,x21201
B7-5,x23245
B7-5,xx3445
B7-5,xx7867
Bm+7,224332
Bm+7,798777
Bm7,x20202
Bm7,224232
Bm7,xx4435
Bm7,797777
B+7+5,x2x343
B+7+5,x65446
B+7+5,xx8887
Bm7-5,100201
Bm7-5,223235
Bdim,xx0101
Bdim,xx3434
Bdim,456464
Bdim,789797
B9,x21222
B9,x44445
B9,797879
B-9,x21212
B-9,797878
